                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6973,                 4.9536,                 4.3068,                0.00172,                 0.1489,                0.00236,                0.00086,                 3.0224,                  4.565,                 4.1586,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                 3.5854,                 4.7952,                 4.2867,                0.00159,                 0.1489,                 0.0021,                0.00075,                 3.0215,                 4.5665,                 4.1574,             0.00015015,             0.00015015,             0.00015015
                      3,                 3.6352,                 4.6809,                  4.219,                0.00149,                0.13462,                0.00208,                0.00078,                 3.0204,                 4.5685,                 4.1559,             0.00020494,             0.00020494,             0.00020494
                      4,                  3.678,                 4.6825,                 4.1866,                0.00143,                0.14505,                0.00195,                0.00069,                 3.0192,                 4.5702,                 4.1539,             0.00024212,             0.00024212,             0.00024212
                      5,                 3.5036,                 4.5334,                 4.1512,                0.00141,                0.13462,                0.00164,                0.00068,                 3.0182,                 4.5725,                 4.1522,             0.00026171,             0.00026171,             0.00026171
                      6,                 3.4225,                 4.3185,                 4.0973,                0.00148,                0.15934,                0.00185,                0.00067,                 3.0147,                 4.5754,                 4.1499,              0.0002637,              0.0002637,              0.0002637
                      7,                  3.241,                 4.2457,                 4.0529,                0.00138,                0.14505,                 0.0017,                0.00068,                 3.0127,                 4.5774,                 4.1487,             0.00024809,             0.00024809,             0.00024809
                      8,                 3.2328,                 4.2193,                 4.0209,                 0.0014,                0.13462,                0.00166,                0.00057,                 3.0061,                 4.5858,                 4.1483,             0.00021488,             0.00021488,             0.00021488
                      9,                 3.3081,                 4.2455,                 3.9854,                0.00139,                0.13462,                0.00143,                0.00049,                 2.9972,                 4.5836,                 4.1466,             0.00016407,             0.00016407,             0.00016407
                     10,                 3.2822,                 4.1245,                 3.9587,                 0.0013,                0.13077,                0.00129,                0.00048,                 2.9899,                 4.5793,                  4.144,             9.5668e-05,             9.5668e-05,             9.5668e-05
